ルーム,対戦者,結果
ルーム1: コンピューター82(チョキ) vs コンピューター93(チョキ) - あいこ
ルーム1: コンピューター82(グー) vs コンピューター93(チョキ) - 勝者: コンピューター82
ルーム2: コンピューター63(グー) vs コンピューター11(チョキ) - 勝者: コンピューター63
ルーム3: コンピューター99(パ―) vs コンピューター86(グー) - 勝者: コンピューター99
ルーム4: コンピューター2(グー) vs コンピューター33(チョキ) - 勝者: コンピューター2
ルーム5: コンピューター81(チョキ) vs コンピューター91(グー) - 勝者: コンピューター91
ルーム6: コンピューター58(グー) vs コンピューター40(グー) - あいこ
ルーム6: コンピューター58(パ―) vs コンピューター40(グー) - 勝者: コンピューター58
ルーム7: コンピューター96(パ―) vs コンピューター51(チョキ) - 勝者: コンピューター51
ルーム8: コンピューター69(パ―) vs コンピューター71(グー) - 勝者: コンピューター69
ルーム9: コンピューター19(チョキ) vs コンピューター17(チョキ) - あいこ
ルーム9: コンピューター19(チョキ) vs コンピューター17(チョキ) - あいこ
ルーム9: コンピューター19(チョキ) vs コンピューター17(グー) - 勝者: コンピューター17
ルーム10: コンピューター78(グー) vs コンピューター24(パ―) - 勝者: コンピューター24
ルーム11: コンピューター10(チョキ) vs コンピューター60(パ―) - 勝者: コンピューター10
ルーム12: コンピューター68(パ―) vs コンピューター36(パ―) - あいこ
ルーム12: コンピューター68(パ―) vs コンピューター36(パ―) - あいこ
ルーム12: コンピューター68(チョキ) vs コンピューター36(チョキ) - あいこ
ルーム12: コンピューター68(チョキ) vs コンピューター36(チョキ) - あいこ
ルーム12: コンピューター68(チョキ) vs コンピューター36(パ―) - 勝者: コンピューター68
ルーム13: コンピューター28(パ―) vs コンピューター22(チョキ) - 勝者: コンピューター22
ルーム14: コンピューター89(グー) vs コンピューター38(グー) - あいこ
ルーム14: コンピューター89(パ―) vs コンピューター38(パ―) - あいこ
ルーム14: コンピューター89(チョキ) vs コンピューター38(パ―) - 勝者: コンピューター89
ルーム15: コンピューター34(グー) vs コンピューター90(パ―) - 勝者: コンピューター90
ルーム16: コンピューター79(グー) vs コンピューター53(パ―) - 勝者: コンピューター53
ルーム17: コンピューター73(パ―) vs コンピューター13(グー) - 勝者: コンピューター73
ルーム18: コンピューター49(パ―) vs コンピューター66(チョキ) - 勝者: コンピューター66
ルーム19: コンピューター61(チョキ) vs コンピューター76(パ―) - 勝者: コンピューター61
ルーム20: コンピューター98(グー) vs コンピューター31(パ―) - 勝者: コンピューター31
ルーム21: コンピューター14(チョキ) vs コンピューター47(パ―) - 勝者: コンピューター14
ルーム22: コンピューター87(パ―) vs コンピューター45(パ―) - あいこ
ルーム22: コンピューター87(パ―) vs コンピューター45(チョキ) - 勝者: コンピューター45
ルーム23: コンピューター18(チョキ) vs コンピューター70(グー) - 勝者: コンピューター70
ルーム24: コンピューター100(チョキ) vs コンピューター88(パ―) - 勝者: コンピューター100
ルーム25: コンピューター43(チョキ) vs コンピューター62(パ―) - 勝者: コンピューター43
ルーム26: コンピューター50(チョキ) vs コンピューター26(チョキ) - あいこ
ルーム26: コンピューター50(グー) vs コンピューター26(パ―) - 勝者: コンピューター26
ルーム27: コンピューター23(グー) vs コンピューター32(グー) - あいこ
ルーム27: コンピューター23(チョキ) vs コンピューター32(チョキ) - あいこ
ルーム27: コンピューター23(チョキ) vs コンピューター32(チョキ) - あいこ
ルーム27: コンピューター23(チョキ) vs コンピューター32(グー) - 勝者: コンピューター32
ルーム28: コンピューター7(チョキ) vs コンピューター74(パ―) - 勝者: コンピューター7
ルーム29: コンピューター3(チョキ) vs コンピューター35(チョキ) - あいこ
ルーム29: コンピューター3(パ―) vs コンピューター35(チョキ) - 勝者: コンピューター35
ルーム30: コンピューター8(パ―) vs コンピューター37(パ―) - あいこ
ルーム30: コンピューター8(グー) vs コンピューター37(グー) - あいこ
ルーム30: コンピューター8(グー) vs コンピューター37(チョキ) - 勝者: コンピューター8
ルーム31: コンピューター16(グー) vs コンピューター67(グー) - あいこ
ルーム31: コンピューター16(グー) vs コンピューター67(チョキ) - 勝者: コンピューター16
ルーム32: コンピューター20(グー) vs コンピューター72(チョキ) - 勝者: コンピューター20
ルーム33: コンピューター25(グー) vs コンピューター12(グー) - あいこ
ルーム33: コンピューター25(チョキ) vs コンピューター12(チョキ) - あいこ
ルーム33: コンピューター25(チョキ) vs コンピューター12(グー) - 勝者: コンピューター12
ルーム34: コンピューター9(チョキ) vs コンピューター1(チョキ) - あいこ
ルーム34: コンピューター9(チョキ) vs コンピューター1(パ―) - 勝者: コンピューター9
